run,model,dataset,missing_rate,seed,MAE,MSE,RMSE,MRE,metrics_file
saits/physionet_2012/mr0.3/seed123,saits,physionet_2012,0.3,123,0.3295128209228459,0.39015469223023,0.6246236404669856,0.4762323168737399,output/imputation/cuda/paper_campaign/saits/physionet_2012/mr0.3/seed123/metrics/saits_metrics.json
saits/physionet_2012/mr0.3/seed42,saits,physionet_2012,0.3,42,0.3321637719861106,0.3924846433949792,0.6264859482821455,0.47543313259310627,output/imputation/cuda/paper_campaign/saits/physionet_2012/mr0.3/seed42/metrics/saits_metrics.json
saits/physionet_2012/mr0.3/seed456,saits,physionet_2012,0.3,456,0.33935201046565866,0.4410091381320612,0.6640851889118302,0.4825472952233689,output/imputation/cuda/paper_campaign/saits/physionet_2012/mr0.3/seed456/metrics/saits_metrics.json
saits/physionet_2012/mr0.5/seed123,saits,physionet_2012,0.5,123,0.37965279446118483,0.43966879458438296,0.6630752555965145,0.5489274572257108,output/imputation/cuda/paper_campaign/saits/physionet_2012/mr0.5/seed123/metrics/saits_metrics.json
saits/physionet_2012/mr0.5/seed42,saits,physionet_2012,0.5,42,0.38671974692776423,0.45774526930112786,0.676568746914257,0.5537910431469113,output/imputation/cuda/paper_campaign/saits/physionet_2012/mr0.5/seed42/metrics/saits_metrics.json
saits/physionet_2012/mr0.5/seed456,saits,physionet_2012,0.5,456,0.3922055626123337,0.5163456461162675,0.7185719491576801,0.5567068827352804,output/imputation/cuda/paper_campaign/saits/physionet_2012/mr0.5/seed456/metrics/saits_metrics.json
saits/solar/mr0.1/seed123,saits,solar,0.1,123,0.11603895110909633,0.06280966714345251,0.2506185690316113,0.14978759998757513,output/imputation/cuda/paper_campaign/saits/solar/mr0.1/seed123/metrics/saits_metrics.json
saits/solar/mr0.1/seed42,saits,solar,0.1,42,0.1131909937541863,0.06283890324925058,0.2506768901379834,0.14625470957661668,output/imputation/cuda/paper_campaign/saits/solar/mr0.1/seed42/metrics/saits_metrics.json
saits/solar/mr0.1/seed456,saits,solar,0.1,456,0.11110679026281159,0.06323492359956336,0.2514655515166309,0.14342440282775146,output/imputation/cuda/paper_campaign/saits/solar/mr0.1/seed456/metrics/saits_metrics.json
saits/solar/mr0.3/seed123,saits,solar,0.3,123,0.10150061722045058,0.04999141577351867,0.2235876020120943,0.1310976188442521,output/imputation/cuda/paper_campaign/saits/solar/mr0.3/seed123/metrics/saits_metrics.json
saits/solar/mr0.3/seed42,saits,solar,0.3,42,0.11180639783336666,0.06381628632450811,0.25261885583722393,0.1443218830956513,output/imputation/cuda/paper_campaign/saits/solar/mr0.3/seed42/metrics/saits_metrics.json
saits/solar/mr0.3/seed456,saits,solar,0.3,456,0.11098431919417305,0.06355825818301739,0.25210763213956333,0.14317934632258217,output/imputation/cuda/paper_campaign/saits/solar/mr0.3/seed456/metrics/saits_metrics.json
saits/solar/mr0.5/seed123,saits,solar,0.5,123,0.10868902460028329,0.06243289399171081,0.2498657519383375,0.1403373541421248,output/imputation/cuda/paper_campaign/saits/solar/mr0.5/seed123/metrics/saits_metrics.json
saits/solar/mr0.5/seed42,saits,solar,0.5,42,0.10806525254250361,0.06369585730990447,0.2523803821811523,0.13947722057132536,output/imputation/cuda/paper_campaign/saits/solar/mr0.5/seed42/metrics/saits_metrics.json
saits/solar/mr0.5/seed456,saits,solar,0.5,456,0.1107697316505445,0.06399687569915677,0.25297603779638256,0.14302686570615644,output/imputation/cuda/paper_campaign/saits/solar/mr0.5/seed456/metrics/saits_metrics.json
tefn/appliances_energy/mr0.1/seed123,tefn,appliances_energy,0.1,123,0.4905171534504298,0.49739298097732854,0.7052609311292726,0.48677979565218993,output/imputation/cuda/paper_campaign/tefn/appliances_energy/mr0.1/seed123/metrics/tefn_metrics.json
tefn/appliances_energy/mr0.1/seed42,tefn,appliances_energy,0.1,42,0.4898451722640736,0.48073672452514976,0.6933518042993396,0.4860329258840267,output/imputation/cuda/paper_campaign/tefn/appliances_energy/mr0.1/seed42/metrics/tefn_metrics.json
tefn/appliances_energy/mr0.1/seed456,tefn,appliances_energy,0.1,456,0.5092834459236621,0.5372604821687701,0.732980546923839,0.5063827701380211,output/imputation/cuda/paper_campaign/tefn/appliances_energy/mr0.1/seed456/metrics/tefn_metrics.json
tefn/appliances_energy/mr0.3/seed123,tefn,appliances_energy,0.3,123,0.6356695544863646,0.7423391064009888,0.8615910319873279,0.6305594917400561,output/imputation/cuda/paper_campaign/tefn/appliances_energy/mr0.3/seed123/metrics/tefn_metrics.json
tefn/appliances_energy/mr0.3/seed42,tefn,appliances_energy,0.3,42,0.6024394631345541,0.674423633239842,0.8212329957081863,0.5976680318890603,output/imputation/cuda/paper_campaign/tefn/appliances_energy/mr0.3/seed42/metrics/tefn_metrics.json
tefn/appliances_energy/mr0.3/seed456,tefn,appliances_energy,0.3,456,0.6322945234877466,0.7409343850103377,0.860775455627272,0.6274883401151371,output/imputation/cuda/paper_campaign/tefn/appliances_energy/mr0.3/seed456/metrics/tefn_metrics.json
tefn/appliances_energy/mr0.5/seed123,tefn,appliances_energy,0.5,123,0.8165250646587869,1.1384573031327514,1.066985146631738,0.8103535464699777,output/imputation/cuda/paper_campaign/tefn/appliances_energy/mr0.5/seed123/metrics/tefn_metrics.json
tefn/appliances_energy/mr0.5/seed42,tefn,appliances_energy,0.5,42,0.7602343464981309,1.020059918364038,1.0099801574110443,0.7542372381246301,output/imputation/cuda/paper_campaign/tefn/appliances_energy/mr0.5/seed42/metrics/tefn_metrics.json
tefn/appliances_energy/mr0.5/seed456,tefn,appliances_energy,0.5,456,0.7856228653897356,1.0528991026922758,1.0261087187487863,0.780237282025144,output/imputation/cuda/paper_campaign/tefn/appliances_energy/mr0.5/seed456/metrics/tefn_metrics.json
tefn/citylearn_zone5/mr0.1/seed123,tefn,citylearn_zone5,0.1,123,0.48142378420294674,0.4712528014247855,0.6864785513217332,0.5902509396925766,output/imputation/cuda/paper_campaign/tefn/citylearn_zone5/mr0.1/seed123/metrics/tefn_metrics.json
tefn/citylearn_zone5/mr0.1/seed42,tefn,citylearn_zone5,0.1,42,0.4759064922166162,0.4710267187665463,0.6863138631606871,0.5851296561494582,output/imputation/cuda/paper_campaign/tefn/citylearn_zone5/mr0.1/seed42/metrics/tefn_metrics.json
